Year,Month,United States dollar,Sterling pound,Euro,South Africa Rand,Uganda shilling\2,Tanzania shilling\2,Rwanda Franc,Burundi Franc,AE Dirham,Deutch Mark,Canadian dollar,French franc,Swiss franc,Dutch guilder,Italian lira,Belgium franc,Japanese yen (100),Swdish kroner,Norwegian kroner,Danish kroner,Austrian schilling,Finn marka,Spanish peseta,Indian rupee,Hong  kong dollar,Singapore dollar,Saudi riyal,Chinese Yuan,Australian dollar
1993,1,36.23,55.623,,,,,,,,22.438,28.356,6.616,24.544,19.96,2.433,1.09,28.995,5.009,5.284,5.735,3.188,6.709,31.638,1.399,,,,,
1993,2,36.557,52.675,,,,,,,,22.277,29.009,6.58,24.079,19.792,2.366,1.08,30.208,4.849,5.239,5.776,3.167,6.29,31.162,1.412,,,,,
1993,3,43.121,62.919,,,,,,,,26.164,34.594,7.701,28.262,23.28,2.71,1.27,36.831,5.576,6.125,6.782,3.719,7.214,36.616,1.438,,,,,
1993,4,51.879,80.336,,,,,,,,32.571,41.122,9.632,35.658,28.989,3.391,1.583,46.26,6.993,7.682,8.481,4.626,9.473,45.9,1.652,,,,,
1993,5,62.161,96.377,,,,,,,,38.731,48.996,11.491,42.94,34.529,4.215,1.884,56.363,8.495,9.151,10.083,5.504,11.328,51.428,1.981,,,,,
1993,6,64.153,96.966,,,,,,,,38.855,50.182,11.545,43.514,34.641,4.272,1.89,59.787,8.635,9.188,10.107,5.526,11.555,50.59,2.037,,,,,
1993,7,65.333,97.939,,,,,,,,38.169,50.972,11.218,43.186,33.945,4.18,1.849,60.694,8.268,9,9.446,5.422,11.345,48.787,2.08,,,,,
1993,8,65.421,97.737,,,,,,,,38.596,50.093,11.043,43.732,34.306,4.084,1.82,63.073,8.145,8.897,9.515,5.483,11.241,47.211,2.085,,,,,
1993,9,65.796,100.323,,,,,,,,40.544,49.839,11.595,46.441,36.108,4.198,1.891,62.491,8.218,9.295,9.916,5.765,11.432,51.039,2.098,,,,,
1993,10,67.974,102.121,,19.985,,,,,,41.453,51.283,11.842,47.218,36.934,4.254,1.91,63.59,8.545,9.493,10.265,5.901,11.827,50.017,2.164,,,,,
1993,11,68.982,102.158,,20.501,,,,,,40.62,52.421,11.684,46.122,36.198,4.15,1.906,64.021,8.367,9.348,10.205,5.778,11.914,50.342,2.198,,,,,
1993,12,68.413,101.938,,20.157,,,,,,39.991,51.375,11.695,46.714,35.692,4.054,1.916,62.351,8.188,9.217,10.198,5.691,11.902,48.739,2.181,,,,,
1994,1,67.928,101.328,,19.748,,,,,,38.996,51.555,11.479,46.111,34.834,3.998,1.877,60.966,8.36,9.051,10.04,5.545,11.935,47.43,2.165,,,,,
1994,2,67.405,99.752,,19.552,,,,,,38.845,50.284,11.437,46.268,34.645,4.003,1.886,63.346,8.462,9.008,9.972,5.522,12.1,47.819,2.149,,,,,
1994,3,66.049,98.577,,19.124,,,,,,39.034,48.501,11.456,46.338,34.735,3.955,1.895,62.874,8.349,8.995,9.917,5.547,11.952,47.592,2.107,,,,,
1994,4,62.777,93.07,,17.595,,,,,,36.971,45.401,10.797,43.399,32.888,3.843,1.788,60.652,7.94,8.498,9.408,5.237,11.461,45.515,2.015,,,,,
1994,5,58.046,87.313,,16.015,,,,,,35.057,42.133,10.238,41.136,31.22,3.64,1.701,56.081,7.528,8.067,8.942,4.967,10.73,42.588,1.846,,,,,
1994,6,56.174,85.665,,15.5,,,,,,34.449,40.698,10.102,40.857,30.77,3.528,1.673,54.715,7.226,7.949,8.818,5.271,10.382,41.735,1.787,,,,,
1994,7,55.969,86.498,,15.272,,,,,,35.653,40.526,10.411,42.256,31.776,3.569,1.732,56.801,7.231,8.168,9.093,5.077,10.718,43.133,1.793,,,,,
1994,8,55.532,85.7,,15.407,,,,,,35.514,40.023,10.365,42.107,31.613,3.514,1.724,55.645,7.192,8.104,8.991,5.041,10.791,42.818,1.787,,,,,
1994,9,51.661,80.595,,14.509,,,,,,33.266,38.076,9.725,39.9,29.664,3.302,1.616,52.207,6.852,7.589,8.446,4.727,10.38,40.106,1.655,,,,,
1994,10,42.382,67.991,,11.95,,,,,,27.866,31.269,8.135,33.49,24.892,2.743,1.352,43.069,5.841,6.371,7.069,3.96,8.985,33.378,1.376,,,,,
1994,11,43.499,68.959,,12.323,,,,,,28.256,31.682,8.242,33.559,25.171,2.744,1.373,44.38,5.942,6.485,7.217,4.059,9.138,33.904,1.393,,,,,
1994,12,45.184,70.49,,12.703,,,,,,28.773,32.588,8.365,34.03,25.841,2.782,1.399,45.156,6.04,6.62,7.363,4.1,9.345,34.267,1.448,,,,,
1995,1,44.478,70.033,,12.546,,,,,,29.06,31.436,8.413,34.571,25.923,2.776,1.415,44.64,5.974,,7.394,4.138,9.398,,1.426,,,,,
1995,2,44.473,69.941,,12.499,,,,,,29.611,31.636,8.512,34.985,26.399,2.758,1.437,45.293,6.055,,7.508,4.209,9.565,,1.42,,,,,
1995,3,44.138,70.619,,12.265,,,,,,31.239,31.324,8.876,37.668,27.983,2.623,1.566,48.69,6.089,,7.77,4.454,10.07,,1.401,,,,,
1995,4,43.986,70.794,,12.212,,,,,,31.934,31.935,9.108,38.756,28.512,2.544,1.551,52.626,5.999,,8.12,4.538,10.304,,1.404,,,,,
1995,5,51.887,82.206,,14.143,,,,,,36.88,38.15,10.423,44.428,32.913,3.173,1.788,61.133,7.153,,9.383,5.245,11.922,,1.661,,,,,
1995,6,53.621,85.551,,14.666,,,,,,38.136,38.896,10.923,46.327,34.211,3.296,1.869,63.496,7.435,,9.823,5.456,12.528,,1.717,,,,,
1995,7,56.592,90.25,,15.561,,,,,,40.848,41.509,11.744,49.091,36.474,3.535,1.993,65.051,7.917,,10.493, -   ,13.374,,1.813,,,,,
