 36 months, 60 months,1 year,10+ years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,< 1 year,MORTGAGE,Not Verified,OTHER_Home_Ownership,OTHER_Purposes,OWN,RENT,Source Verified,Verified,annual_inc,car,credit_card,debt_consolidation,educational,funded_amnt,home_improvement,house,installment,int_rate,loan_amnt,major_purchase,medical,moving,renewable_energy,small_business,vacation,wedding
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,30000.0,1,0,0,0,2500.0,0,0,59.83,15.27,2500.0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,40000.0,0,0,0,0,5600.0,0,0,152.39,21.28,5600.0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,15000.0,0,0,0,0,5375.0,0,0,121.45,12.69,5375.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,30000.0,0,0,1,0,9000.0,0,0,305.38,13.49,9000.0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,100000.0,0,0,0,0,10000.0,0,0,325.74,10.65,10000.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,105000.0,0,0,1,0,21000.0,0,0,701.73,12.42,21000.0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,76000.0,0,0,0,0,6000.0,0,0,198.46,11.71,6000.0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,60000.0,0,0,1,0,15000.0,0,0,514.64,14.27,15000.0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,50004.0,0,0,0,0,5000.0,0,0,123.65,16.77,5000.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100000.0,0,0,1,0,5000.0,0,0,158.77,8.9,5000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,80000.0,0,0,1,0,15000.0,0,0,483.38,9.91,15000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,50000.0,1,0,0,0,12000.0,0,0,421.65,15.96,12000.0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,50000.0,0,0,1,0,21000.0,0,0,555.33,19.91,21000.0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,45996.0,0,0,1,0,10000.0,0,0,215.69,10.65,10000.0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,30000.0,0,0,1,0,8925.0,0,0,223.11,17.27,12500.0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,75000.0,0,0,0,0,8200.0,0,0,223.14,21.28,8200.0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,75000.0,0,0,1,0,6400.0,0,0,227.45,16.77,6400.0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,45000.0,0,1,0,0,17500.0,0,0,437.47,17.27,17500.0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,25000.0,0,0,1,0,6200.0,0,0,199.8,9.91,6200.0,0,0,0,0,0,0,0
